id,name,rating,title,date,review,platform_name,scraped_timestamp,language,source_url,adjective_review,ner_review,emotions_review,empathy_review
1,Sahil Shah,5,One of the best diapers out there,29 April 2025,Its very soft and nice … my 3 year old feels comfortable in these,Amazon,12am,English,Amazon Reviews,soft nice old comfortable,"('3 year old', 'DATE')","[('admiration', 0.5226426124572754), ('approval', 0.1928124874830246), ('joy', 0.14558269083499908)]","[[{'label': 'joy', 'score': 0.924994945526123}, {'label': 'neutral', 'score': 0.05466673523187637}, {'label': 'sadness', 'score': 0.008808662183582783}, {'label': 'disgust', 'score': 0.006072017829865217}, {'label': 'surprise', 'score': 0.002980646677315235}, {'label': 'anger', 'score': 0.0013766639167442918}, {'label': 'fear', 'score': 0.0011003515683114529}]]"
1,Amer,5,Nice,25 April 2025,"Pattern Name: PantsSize: Medium- Explorer
After using Teddy brand, Huggies brand diapers switched to Alter seeing the positive reviews and as it's bamboo made. Some days the diaper seems good. But whenever baby is sleeping on one side and if baby is little fussy she keeps on feeding for long time in side position, then the diaper starts leaking and wets whole dress. So far have noticed leakage twice while using these diapers. Also I'm using for night time so if anyone uses during daytime and based on baby activities it might leak for sure.",Amazon,12am,English,Amazon Reviews,positive good little fussy long whole sure,"('Teddy', 'PERSON')","[('neutral', 0.6490499377250671), ('approval', 0.05857085809111595), ('annoyance', 0.056070003658533096)]","[[{'label': 'neutral', 'score': 0.6364648342132568}, {'label': 'disgust', 'score': 0.23971091210842133}, {'label': 'surprise', 'score': 0.03556445240974426}, {'label': 'anger', 'score': 0.03193208947777748}, {'label': 'sadness', 'score': 0.03073647990822792}, {'label': 'fear', 'score': 0.02188030630350113}, {'label': 'joy', 'score': 0.003710841527208686}]]"
1,Lucky,5,"Soft, Comfortable, and Rash-Free Diapers for My Baby",18 February 2025,"’ve been using these diapers for my baby, and I couldn’t be happier with the results! The organic bamboo material is incredibly soft and gentle on my baby’s skin, and I noticed there’s no irritation or redness, even after long hours of use. The diapers are super absorbent and keep my baby dry through the night without any leaks, which is a huge relief!

The pant-style design makes it easy to put on and take off, and the wetness indicator is a handy feature, letting me know when it’s time for a change. I also appreciate that they are rash-free, which is very important for my baby’s delicate skin.

The fit is perfect for my baby (M size, 9-14kg), and the diapers don’t feel bulky or uncomfortable. They stay snug and secure, so I don’t have to worry about leaks or shifting during playtime.

I highly recommend these diapers for parents looking for a high-quality, natural, and comfortable option for their babies. Plus, the eco-friendly bamboo material is a big win!
2 people found this helpful",Amazon,12am,English,Amazon Reviews,happier organic soft gentle long absorbent dry huge easy wetness handy rash free important delicate perfect bulky uncomfortable secure high natural comfortable friendly big helpful,"('long hours', 'TIME')","[('neutral', 0.25446566939353943), ('joy', 0.20137394964694977), ('approval', 0.09366148710250854)]","[[{'label': 'joy', 'score': 0.5991715788841248}, {'label': 'neutral', 'score': 0.29912039637565613}, {'label': 'disgust', 'score': 0.06397514790296555}, {'label': 'sadness', 'score': 0.01352397445589304}, {'label': 'anger', 'score': 0.011191361583769321}, {'label': 'surprise', 'score': 0.008937831968069077}, {'label': 'fear', 'score': 0.004079714883118868}]]"
1,Hitakshi,5,": Comfortable, Rash-Free, and Super Absorbent Baby Diapers!",18 February 2025,"I’ve been using the Allter Organic Bamboo Pant Style Diapers for my little one, and I couldn’t be happier! These diapers are perfect for babies in the M size range (9-14 kg) and offer amazing comfort and absorbency. The bamboo material is super soft, and it’s great knowing it’s organic and gentle on my baby’s skin.

One of the best features is the wetness indicator, which makes it so easy to tell when it's time for a change. The diapers are also 3X softer than other brands we’ve tried, and my baby hasn’t experienced any rashes, which is a huge relief!

The absorbency is fantastic, and they last through overnight wear without any leaks. Plus, they fit snugly but comfortably, so my baby can move around freely without any discomfort.

What I liked: Rash-free, super soft, great absorbency, eco-friendly bamboo material, wetness indicator.
What I disliked: None! These diapers are fantastic.",Amazon,12am,English,Amazon Reviews,little happier perfect amazing soft great organic gentle best wetness easy softer other huge fantastic overnight free super soft great friendly wetness fantastic,"('the Allter Organic Bamboo Pant Style Diapers', 'ORG')","[('admiration', 0.6573461890220642), ('neutral', 0.11782749742269516), ('joy', 0.10489121824502945)]","[[{'label': 'joy', 'score': 0.6487582921981812}, {'label': 'neutral', 'score': 0.24583393335342407}, {'label': 'disgust', 'score': 0.06509090214967728}, {'label': 'surprise', 'score': 0.0186325553804636}, {'label': 'sadness', 'score': 0.013736124150454998}, {'label': 'anger', 'score': 0.005708519835025072}, {'label': 'fear', 'score': 0.00223962077870965}]]"
1,Tanisha Chahar,5,Super Soft and Reliable Diapers – Perfect for My Little Explorer!,18 February 2025,"Pattern Name: PantsSize: Medium- Explorer
I’m extremely impressed with these diapers! I’ve tried a variety of brands, but these stand out for their softness and absorbency. The organic bamboo material feels gentle on my baby’s skin, and I love that they’re rash-free, even after long hours of wear. The super absorbent core keeps my baby dry throughout the night, which is such a relief for me as a parent. The wetness indicator is a fantastic feature that helps me quickly assess when a change is needed, so I don’t have to worry about leaks.

The pant style is also very convenient for my active baby who is always moving around. I can easily pull them up and they fit securely. The M size (9-14 kg) is a great fit for my baby, and I’m glad to know the diapers are sized correctly.",Amazon,12am,English,Amazon Reviews,impressed organic gentle rash free long absorbent dry wetness fantastic pant convenient active great glad,"('long hours', 'TIME')","[('joy', 0.33740663528442383), ('admiration', 0.19660672545433044), ('neutral', 0.17093577980995178)]","[[{'label': 'neutral', 'score': 0.6454823613166809}, {'label': 'joy', 'score': 0.18131773173809052}, {'label': 'disgust', 'score': 0.07876425981521606}, {'label': 'surprise', 'score': 0.0740342065691948}, {'label': 'sadness', 'score': 0.008721443824470043}, {'label': 'anger', 'score': 0.007043956313282251}, {'label': 'fear', 'score': 0.004636053461581469}]]"
1,Himanshi Aggarwal,5,"ter Organic Bamboo Pant Style Diapers - Medium Size (9-14 Kg), 26 Count (Pack of 1)",18 February 2025,"Keep your little explorer comfortable and dry with Allter Organic Bamboo Pant Style Diapers. Designed for babies weighing 9-14 kg, these diapers offer superior protection with a rash-free formula, enhanced absorbency, and 3X softness. Featuring a wetness indicator for easy monitoring, these eco-friendly diapers are made with organic bamboo for a gentle touch on your baby’s skin. Perfect for active kids, providing all-day comfort and dryness!",Amazon,12am,English,Amazon Reviews,little comfortable dry superior rash free wetness easy friendly organic gentle active,"('Allter Organic Bamboo Pant Style Diapers', 'ORG')","[('neutral', 0.6902843713760376), ('annoyance', 0.06294006109237671), ('approval', 0.05189996957778931)]","[[{'label': 'neutral', 'score': 0.8570192456245422}, {'label': 'disgust', 'score': 0.05755618214607239}, {'label': 'joy', 'score': 0.056744594126939774}, {'label': 'anger', 'score': 0.011889447458088398}, {'label': 'surprise', 'score': 0.007935264147818089}, {'label': 'sadness', 'score': 0.006120705511420965}, {'label': 'fear', 'score': 0.002734583104029298}]]"
1,Himakshi Grover,5,"""Super Soft, Rash-Free, and Highly Absorbent – Perfect for My Baby!""",18 February 2025,"I’ve been using the Allter Organic Bamboo Pant Style Diapers for my baby, and I couldn’t be happier with the results! These diapers are incredibly soft – way softer than many other brands I’ve tried. The 3X softness is noticeable and makes them gentle on my baby’s sensitive skin. I’ve noticed fewer rashes and irritation, which is such a relief.

The absorbency is top-notch, and we haven’t had any leaks, even during longer nights. The wetness indicator is another fantastic feature. It makes it so much easier to know when it’s time for a change, especially for first-time parents like me.

The bamboo material feels breathable and natural, which gives me peace of mind knowing they’re made with organic materials. Plus, the diaper's pant style is easy to pull on and off, making diaper changes more convenient.",Amazon,12am,English,Amazon Reviews,happier soft softer many other noticeable gentle sensitive fewer top longer wetness fantastic easier first breathable natural organic easy convenient,"('the Allter Organic Bamboo Pant Style Diapers', 'ORG')","[('neutral', 0.3234612047672272), ('joy', 0.20796427130699158), ('admiration', 0.06176058202981949)]","[[{'label': 'joy', 'score': 0.7141635417938232}, {'label': 'neutral', 'score': 0.19832943379878998}, {'label': 'disgust', 'score': 0.054750487208366394}, {'label': 'sadness', 'score': 0.013033809140324593}, {'label': 'anger', 'score': 0.009927232749760151}, {'label': 'surprise', 'score': 0.00838220864534378}, {'label': 'fear', 'score': 0.0014132489450275898}]]"
1,Shiva Indolia,5,alter,18 February 2025,"The Allter Organic Bamboo Pant Style Diapers in Medium Size (9-14 kg) are designed to provide a comfortable and rash-free experience for your child. Crafted from 100% certified organic bamboo, these diapers are hypoallergenic and lightweight, minimizing the risk of rashes and infections.
AMAZON

Key Features:

3D Flex & Fit Waistband: Designed for active toddlers, the cloud-like comfort ensures a super comfortable fit without rashes or discomfort.
AMAZON

Advanced Absorption Technology: Bamboo can hold three times its weight in liquid, providing superior absorbency and keeping your baby dry for up to 12 hours.
ALLTER

Wetness Indicator: The color-changing wetness indicator lets you know when it’s time for a change without constant checking.
ALLTER

Chemical-Free: These diapers are free from harsh chemicals and irritants, making them safe for even the most sensitive skin.
One person found this helpful",Amazon,12am,English,Amazon Reviews,comfortable rash free organic hypoallergenic lightweight active cloud like comfortable superior dry Wetness wetness constant free harsh safe sensitive helpful,"('The Allter Organic Bamboo Pant Style Diapers in Medium Size', 'WORK_OF_ART')","[('neutral', 0.6403178572654724), ('annoyance', 0.07250459492206573), ('approval', 0.04597685486078262)]","[[{'label': 'neutral', 'score': 0.9192386865615845}, {'label': 'disgust', 'score': 0.02900371327996254}, {'label': 'joy', 'score': 0.017190169543027878}, {'label': 'anger', 'score': 0.009906227700412273}, {'label': 'fear', 'score': 0.0098445825278759}, {'label': 'surprise', 'score': 0.009318863041698933}, {'label': 'sadness', 'score': 0.005497812759131193}]]"
1,Gurpreet kaur,5,Best Diapers for Comfort and Protection!,18 February 2025,"I’ve tried so many diaper brands, but Allter Organic Bamboo Pant Style Diapers have quickly become my favorite! The medium size fits perfectly on my child (9-14 kg), and the soft bamboo material is so gentle on their skin. These diapers are 3X softer than the ones I’ve used before, and the organic bamboo feel really sets them apart from others.

What I love most is that they are completely rash-free—no redness or irritation, even after a full day of wear. The super absorbency ensures there’s no leakage, keeping my little one dry and comfortable. Plus, the wetness indicator makes it easy to know when it's time for a change without any guessing.

These diapers are perfect for keeping my baby comfortable and rash-free, and I can feel good knowing they’re made from eco-friendly bamboo. I highly recommend these for anyone looking for a natural and reliable diaper option!
2 people found this helpful",Amazon,12am,English,Amazon Reviews,many favorite medium soft gentle softer organic rash free full super little dry comfortable wetness easy perfect comfortable rash free good friendly natural reliable helpful,"('Allter Organic Bamboo', 'PERSON')","[('neutral', 0.38890334963798523), ('love', 0.20023424923419952), ('admiration', 0.1327950805425644)]","[[{'label': 'neutral', 'score': 0.7089807391166687}, {'label': 'joy', 'score': 0.18932683765888214}, {'label': 'disgust', 'score': 0.07011973857879639}, {'label': 'surprise', 'score': 0.01259346678853035}, {'label': 'anger', 'score': 0.010863377712666988}, {'label': 'sadness', 'score': 0.006054490339010954}, {'label': 'fear', 'score': 0.002061416395008564}]]"
1,Sonia,5,"Comfortable, Eco-Friendly, and Super Absorbent – Perfect for My Baby!",18 February 2025,"I’ve been using the .allter Organic Bamboo Pant Style Baby Diapers for a few weeks, and I’m thoroughly impressed! These diapers are incredibly soft, and I love that they’re made from organic bamboo, which is both gentle on my baby’s skin and better for the environment. The softness is noticeable right away, and they feel comfortable and breathable on my baby, even after hours of use.

The absorbency is outstanding! These diapers keep my baby dry throughout the night and all day without any leaks, which is a huge relief. The wetness indicator is also super helpful in letting me know when it's time for a change.

I’ve noticed that my baby’s skin stays rash-free, even after wearing them for longer periods, which I appreciate. The pant style is easy to pull up and take off, making diaper changes quick and hassle-free.

Overall, I’m really happy with these diapers. They tick all the boxes: soft, absorbent, rash-free, eco-friendly, and convenient. Highly recommend them to any parent looking for a great diaper!",Amazon,12am,English,Amazon Reviews,few impressed soft organic gentle better noticeable comfortable breathable outstanding dry huge wetness helpful rash free longer easy quick free happy soft absorbent free friendly convenient great,"('the .allter Organic Bamboo Pant Style Baby Diapers', 'WORK_OF_ART')","[('joy', 0.35642731189727783), ('admiration', 0.3245975077152252), ('love', 0.2907494008541107)]","[[{'label': 'joy', 'score': 0.4252046048641205}, {'label': 'neutral', 'score': 0.35379141569137573}, {'label': 'surprise', 'score': 0.1565508097410202}, {'label': 'disgust', 'score': 0.04512763395905495}, {'label': 'anger', 'score': 0.009671964682638645}, {'label': 'sadness', 'score': 0.006266369018703699}, {'label': 'fear', 'score': 0.003387271426618099}]]"
